high_conf,med_conf,low_conf,high_sev,med_sev,low_sev,unique_cwes,total_unique_cwes,repo,commit
5353,142,72,98,411,5058,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,ac53fdf67782a30364998cedad840afa515cc2e2
5371,144,71,99,411,5076,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,b28f2e704ca3329e5a7ffcec3b5e1c7e54f35247
5368,144,71,99,411,5073,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,b4c5004c861e58c7c2bfe30c697c8bc033ad71c8
5372,144,71,99,411,5077,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,b78e892bf888c24fa5e40b5cccd0bb88e759f24d
5363,142,72,97,410,5070,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,b852951c5850440e475229868645f5286d8e0465
5371,144,71,99,411,5076,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,b93918f926edf46562e22bc44a592133fee9648b
5363,142,72,97,410,5070,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,b948e4901391e3254b932c94362e5c81838cb4c0
5371,144,71,99,411,5076,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,ba5380f60be4ccff5598922423d69824433636aa
5372,144,71,99,411,5077,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,baa3be7525e7469fc4fbe8078ed6b86c6936fa36
5368,143,72,99,412,5072,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,bab26d6a9bb53483fbf32fd927e2313ff31cb13d
5364,143,72,99,412,5068,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,bd5dd2f9490df8a9c92c025830697b70eeb4826b
5366,144,71,99,411,5071,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,c11a1b54f114fd0a850f8306749d0f6a19636929
5341,142,72,97,410,5048,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,c374d7695e87a7e1c76b7949b20bd846e0bb3793
5368,144,71,99,411,5073,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,c54b944674436a55010a9f29bbb3fd3aec16ea6d
5372,144,71,99,411,5077,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,c5fc4068f48b9cb981e309de3f7859cb2d3387f6
5363,142,72,97,410,5070,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,c9a05c9d94ca391cac1ebabf0716dc1fb5901950
5346,142,72,97,410,5053,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,d192eb5c484aacb4cf162dc455d81ee221c824cc
5371,144,71,99,411,5076,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,d1c8acd3ff14038de77d9b9373f1b21a2361d44b
5347,142,72,97,410,5054,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,dc0f1b0efcbad0fef38264584294f2d41deb3dfb
5346,142,72,97,410,5053,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,dcd7e2555e094b9f932257668491d2d89e6125e9
5371,144,71,99,411,5076,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,e1c443aac4441d40ab942445e46a8f788113eb69
5372,144,71,99,411,5077,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,e862031981ce215b9dcc74bd3a09bc982a491c95
5341,142,72,97,410,5048,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,eae7ed8447baf1f8d2539bf77ed8be40e9bd6e73
5363,142,72,97,410,5070,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,ee548eb16e7ff916b426798d7b79074a9965f12a
5372,144,71,99,411,5077,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,eee9f67df2e9a1d2e38d8c70ab6a50888321f951
5350,142,72,98,411,5055,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,f1b9aec8738950fdcb45a56775c16f553192a5e6
5363,142,72,97,410,5070,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,f21b86aba8be7e073b50234a0907b51f1849a750
5368,144,71,99,411,5073,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,f31adff0ed596aafa8f534b59c74cdb329765c5c
5368,144,71,99,411,5073,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,f6d22a3cc446a33cb86c3350abec425fdf85688a
5363,142,72,97,410,5070,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,f8e2f7c753c9807821113b2488f644b766bde308
5371,144,71,99,411,5076,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,fd2172873219ba6b93dd724efda711c36051ba4e
5363,142,72,97,410,5070,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,fe3320eff00dcc41cdc63ac40ad17f8b2b6f86ba
